t_s,B_aplicado_T,M_proj,S
2.272881349750358,0.0060652210737229305,0.9315417616709462,0.9320486883031109
2.27526382495974,0.0060291900096557435,0.9338233753374038,0.9341840339663988
2.277646300169122,0.0059933728388254365,0.934996594556055,0.9352152968858027
2.280028775378504,0.005957768290572004,0.934725111005883,0.9348262905119693
2.2824112505878857,0.005922375101778501,0.9330160236548344,0.9330398775813687
2.2847937257972677,0.005887192016826228,0.9302237670501055,0.9302242279300134
2.2871762010066496,0.005852217787550188,0.9269322289226356,0.9269747723016468
2.2895586762160316,0.005817451173194809,0.9237859520265371,0.9239404072561606
2.291941151425413,0.0057828909403699336,0.9213448298704604,0.9216709256847748
2.294323626634795,0.005748535863007016,0.9199940721141676,0.9205233730531222
2.296706101844177,0.0057143847223157145,0.9199047782975635,0.9206272978999113
2.299088577053559,0.00568043630674056,0.9210302918654372,0.9218935556929311
2.301471052262941,0.005646689411918052,0.9231277657278912,0.9240501172037968
2.303853527472323,0.005613142840633858,0.9258005777524835,0.9266930343591508
2.306236002681705,0.005579795402780422,0.9285609375346934,0.9293481863559832
2.3086184778910868,0.005546645915314659,0.9309093022620654,0.9315423892861464
2.3110009531004687,0.0055136932022160695,0.9324174369855344,0.9328762943430645
2.3133834283098507,0.005480936094444932,0.932797230445289,0.933086716129391
2.3157659035192326,0.0054483734299009216,0.9319483192122084,0.9320934084850845
2.3181483787286146,0.00541600405338179,0.9299863599467509,0.9300296277109212
2.3205308539379965,0.005383826816542473,0.9272393266253451,0.9272397984559287
2.3229133291473785,0.005351840577854264,0.9241880447109806,0.924218265965162
2.3252958043567604,0.005320044202564403,0.9213563856308638,0.9214947812119576
2.3276782795661424,0.0052884365626557385,0.9191969338882799,0.9195144107699731
2.3300607547755243,0.005257016536806782,0.9180151815724826,0.9185581487606992
2.3324432299849063,0.005225783010351863,0.9179386235004345,0.9187141622930759
2.334825705194288,0.005194734875241653,0.9189145262413444,0.9198847554991781
2.3372081804036697,0.005163871030003774,0.9207260990196596,0.9218156898573838
