t_s,B_T,M_proj,S,B_r
5.047605562920592,0.00403210230194509,0.9999994936862442,0.9999994936862442,0.002413793103448275
5.048592001373381,0.0033654059683360426,0.9999994380620514,0.9999994380620514,0.002413793103448275
5.04957843982617,0.0026987096347269954,0.9999993743646289,0.9999993743646289,0.002413793103448275
5.0505648782789585,0.0026046830046134394,0.9999993011768084,0.9999993011768082,0.002413793103448275
5.0515513167317465,0.002938031171417663,0.9999992179583558,0.9999992179583558,0.002413793103448275
5.052537755184535,0.003271379338222186,0.9999991251435532,0.9999991251435532,0.002413793103448275
5.053524193637324,0.003604727505026709,0.9999990234624747,0.9999990234624747,0.002413793103448275
5.054510632090113,0.003938075671831233,0.9999989139824267,0.9999989139824267,0.002413793103448275
5.055497070542902,0.004271423838635756,0.9999987981339958,0.9999987981339957,0.002413793103448275
5.056483508995691,0.00460477200544028,0.9999986777197168,0.9999986777197168,0.002413793103448275
5.05746994744848,0.004938120172244803,0.9999985549036688,0.9999985549036688,0.002413793103448275
5.058456385901269,0.0052714683390493264,0.9999984321808275,0.9999984321808275,0.002413793103448275
5.059442824354058,0.0056048165058538504,0.9999983123257297,0.9999983123257296,0.002413793103448275
5.060429262806847,0.005938164672658374,0.9999981983209194,0.9999981983209194,0.002413793103448275
5.0614157012596355,0.0062715128394628976,0.9999980932667015,0.9999980932667015,0.002413793103448275
5.062402139712424,0.006604861006267421,0.9999980002748671,0.9999980002748671,0.002413793103448275
5.063388578165213,0.006938209173071945,0.9999979223502314,0.9999979223502314,0.002413793103448275
5.064375016618002,0.007271557339876467,0.9999978622649168,0.9999978622649168,0.002413793103448275
5.065361455070791,0.007604905506680991,0.9999978224312817,0.9999978224312817,0.002413793103448275
5.06634789352358,0.007938253673485515,0.9999978047801121,0.9999978047801121,0.002413793103448275
5.067334331976369,0.008271601840290037,0.9999978106510963,0.9999978106510963,0.002413793103448275
5.068320770429158,0.008604950007094561,0.999997840702603,0.999997840702603,0.002413793103448275
5.069307208881947,0.008938298173899085,0.9999978948473449,0.9999978948473449,0.002413793103448275
5.0702936473347355,0.009271646340703609,0.9999979722195765,0.9999979722195765,0.002413793103448275
5.071280085787524,0.009604994507508131,0.9999980711780826,0.9999980711780826,0.002413793103448275
5.072266524240313,0.009938342674312655,0.9999981893473808,0.9999981893473809,0.002413793103448275
5.073252962693102,0.01027169084111718,0.9999983236973812,0.9999983236973812,0.002413793103448275
5.074239401145891,0.010605039007921702,0.9999984706593249,0.9999984706593249,0.002413793103448275
