t_s,B_applied_T,M_proj,S,B_r
5.617572209129395,-0.0008718599798889842,0.9996531322498077,0.9996531322498077,-0.0013157894736842103
5.62126312385287,-0.0007786158184538167,0.9995780142853841,0.9995780142853841,-0.0013157894736842103
5.6249540385763455,-0.0006853716570186494,0.9994920880274544,0.9994920880274544,-0.0013157894736842103
5.628644953299821,-0.0005921274955834819,0.9993954519210524,0.9993954519210524,-0.0013157894736842103
5.632335868023296,-0.0004988833341483143,0.9992886168684001,0.9992886168684001,-0.0013157894736842103
5.636026782746772,-0.0004056391727131468,0.9991725632911106,0.9991725632911105,-0.0013157894736842103
5.639717697470247,-0.00031239501127797934,0.9990487797767822,0.9990487797767822,-0.0013157894736842103
5.6434086121937215,-0.0002191508498428341,0.9989192775469188,0.9989192775469188,-0.0013157894736842103
5.647099526917197,-0.00012590668840766666,0.998786576151681,0.998786576151681,-0.0013157894736842103
5.650790441640672,-3.26625269724992e-05,0.9986536575495099,0.9986536575495099,-0.0013157894736842103
5.654481356364148,6.058163446266826e-05,0.9985238878714352,0.9985238878714351,-0.0013157894736842103
5.658172271087623,0.0001538257958978357,0.9984009084596167,0.9984009084596167,-0.0013157894736842103
5.661863185811098,0.0002470699573330034,0.9982884999652045,0.9982884999652046,-0.0013157894736842103
5.665554100534574,0.00034031411876817084,0.9981904251966248,0.9981904251966246,-0.0013157894736842103
5.669245015258049,0.0004335582802033383,0.9981102579136467,0.9981102579136466,-0.0013157894736842103
5.6729359299815245,0.0005268024416385058,0.9980512058500353,0.9980512058500353,-0.0013157894736842103
5.676626844705,0.0006200466030736733,0.9980159369852482,0.9980159369852482,-0.0013157894736842103
5.680317759428474,0.0007132907645088183,0.9980064185776296,0.9980064185776296,-0.0013157894736842103
5.68400867415195,0.0008065349259439858,0.9980237787923971,0.9980237787923971,-0.0013157894736842103
5.687699588875425,0.0008997790873791534,0.9980682008829252,0.9980682008829252,-0.0013157894736842103
5.6913905035989005,0.0009930232488143207,0.9981388596444928,0.9981388596444928,-0.0013157894736842103
5.695081418322376,0.0010862674102494884,0.9982339089481924,0.9982339089481924,-0.0013157894736842103
5.698772333045851,0.0011795115716846558,0.9983505272065963,0.9983505272065963,-0.0013157894736842103
5.702463247769327,0.0012727557331198233,0.998485024320444,0.998485024320444,-0.0013157894736842103
5.706154162492802,0.001365999894554991,0.9986330089414238,0.9986330089414238,-0.0013157894736842103
5.709845077216277,0.0014592440559901584,0.9987896090657775,0.9987896090657775,-0.0013157894736842103
5.713535991939753,0.0015524882174253259,0.9989497327640912,0.9989497327640909,-0.0013157894736842103
5.717226906663227,0.0016457323788604708,0.9991083502815751,0.9991083502815751,-0.0013157894736842103
5.720917821386703,0.0017389765402956382,0.9992607749099395,0.9992607749099395,-0.0013157894736842103
5.724608736110178,0.001832220701730806,0.9994029188034372,0.9994029188034372,-0.0013157894736842103
5.7282996508336534,0.0019254648631659734,0.9995315016639374,0.9995315016639374,-0.0013157894736842103
5.731990565557129,0.002018709024601141,0.9996441947361483,0.9996441947361483,-0.0013157894736842103
5.735681480280604,0.0021119531860363085,0.9997396891182613,0.9997396891182613,-0.0013157894736842103
5.73937239500408,0.002205197347471476,0.9998176850255555,0.9998176850255555,-0.0013157894736842103
5.743063309727555,0.0022984415089066434,0.999878806358538,0.999878806358538,-0.0013157894736842103
5.74675422445103,0.002391685670341811,0.9999244518969981,0.9999244518969982,-0.0013157894736842103
5.750445139174506,0.0024849298317769783,0.9999566000394,0.9999566000394,-0.0013157894736842103
5.75413605389798,0.0025781739932121232,0.999977587763131,0.999977587763131,-0.0013157894736842103
5.757826968621456,0.0026714181546472907,0.9999898860473663,0.9999898860473663,-0.0013157894736842103
5.761517883344931,0.0027646623160824586,0.9999958931792036,0.9999958931792036,-0.0013157894736842103
5.765208798068406,0.002857906477517626,0.9999977641887159,0.999997764188716,-0.0013157894736842103
5.768899712791882,0.0029511506389527935,0.999997289468921,0.999997289468921,-0.0013157894736842103
5.772590627515357,0.003044394800387961,0.9999958290861983,0.9999958290861983,-0.0013157894736842103
5.7762815422388325,0.0031376389618231284,0.9999943022637323,0.9999943022637323,-0.0013157894736842103
5.779972456962308,0.003230883123258296,0.9999932250005382,0.9999932250005382,-0.0013157894736842103
5.783663371685783,0.0033241272846934633,0.9999927836641973,0.9999927836641973,-0.0013157894736842103
5.787354286409259,0.0034173714461286308,0.999992929327661,0.999992929327661,-0.0013157894736842103
5.791045201132733,0.003510615607563776,0.9999934769375391,0.9999934769375391,-0.0013157894736842103
5.7947361158562085,0.0036038597689989436,0.9999941950537876,0.9999941950537876,-0.0013157894736842103
5.798427030579684,0.003697103930434111,0.9999948754747475,0.9999948754747475,-0.0013157894736842103
5.802117945303159,0.0037903480918692785,0.9999953768478096,0.9999953768478096,-0.0013157894736842103
5.805808860026635,0.003883592253304446,0.9999956414810107,0.9999956414810106,-0.0013157894736842103
5.80949977475011,0.003976836414739613,0.9999956891166403,0.9999956891166403,-0.0013157894736842103
5.813190689473585,0.004070080576174781,0.9999955946631712,0.9999955946631712,-0.0013157894736842103
5.816881604197061,0.004163324737609948,0.9999954583653635,0.9999954583653636,-0.0013157894736842103
5.820572518920536,0.004256568899045116,0.9999953765612726,0.9999953765612726,-0.0013157894736842103
5.824263433644012,0.004349813060480283,0.9999954193347811,0.9999954193347811,-0.0013157894736842103
5.827954348367486,0.004443057221915429,0.9999956186042154,0.9999956186042154,-0.0013157894736842103
5.831645263090961,0.0045363013833505965,0.9999959671973498,0.9999959671973498,-0.0013157894736842103
5.835336177814437,0.004629545544785764,0.9999964269142685,0.9999964269142685,-0.0013157894736842103
5.839027092537912,0.004722789706220931,0.9999969419509246,0.9999969419509246,-0.0013157894736842103
5.842718007261388,0.004816033867656099,0.9999974535552183,0.9999974535552183,-0.0013157894736842103
5.846408921984863,0.004909278029091266,0.9999979123345974,0.9999979123345974,-0.0013157894736842103
6.053100146499479,-0.0017572591484353282,0.9997332652794312,0.9997332652794312,-0.001842105263157895
6.056791061222954,-0.0016562446402138967,0.9996552379103656,0.9996552379103656,-0.001842105263157895
6.06048197594643,-0.0015552301319924652,0.9995558927284057,0.9995558927284057,-0.001842105263157895
6.064172890669905,-0.0014542156237710338,0.9994318870166656,0.9994318870166656,-0.001842105263157895
6.06786380539338,-0.0013532011155496023,0.9992798906520064,0.9992798906520064,-0.001842105263157895
6.071554720116856,-0.0012521866073281708,0.9990968194196103,0.9990968194196104,-0.001842105263157895
6.075245634840331,-0.0011511720991067393,0.9988801149558728,0.9988801149558728,-0.001842105263157895
6.078936549563807,-0.0010501575908853078,0.9986280588262253,0.9986280588262253,-0.001842105263157895
6.082627464287282,-0.0009491430826638763,0.9983400969048403,0.9983400969048403,-0.001842105263157895
6.086318379010757,-0.0008481285744424451,0.9980171404325973,0.9980171404325974,-0.001842105263157895
6.090009293734232,-0.0007471140662210379,0.9976618043311806,0.9976618043311806,-0.001842105263157895
6.093700208457707,-0.0006460995579996064,0.9972785440554225,0.9972785440554225,-0.001842105263157895
6.097391123181183,-0.0005450850497781749,0.9968736609979018,0.9968736609979018,-0.001842105263157895
6.101082037904658,-0.00044407054155674343,0.9964551627630468,0.9964551627630468,-0.001842105263157895
6.104772952628133,-0.00034305603333531194,0.9960324856007037,0.9960324856007036,-0.001842105263157895
6.108463867351609,-0.00024204152511388046,0.995616107046767,0.995616107046767,-0.001842105263157895
6.112154782075084,-0.00014102701689244898,0.9952170919137409,0.9952170919137409,-0.001842105263157895
6.1158456967985595,-4.0012508671017494e-05,0.9948466200982782,0.9948466200982781,-0.001842105263157895
6.119536611522035,6.100199955041377e-05,0.9945155390194866,0.9945155390194866,-0.001842105263157895
6.12322752624551,0.00016201650777184526,0.9942339690495433,0.9942339690495433,-0.001842105263157895
6.126918440968985,0.00026303101599325245,0.9940109717778349,0.9940109717778349,-0.001842105263157895
6.13060935569246,0.00036404552421468394,0.9938542739148482,0.9938542739148482,-0.001842105263157895
6.1343002704159355,0.0004650600324361154,0.9937700286600033,0.9937700286600033,-0.001842105263157895
6.137991185139411,0.0005660745406575469,0.9937625938606626,0.9937625938606627,-0.001842105263157895
